"año","estacion","pago","conteo"
"10","Alberti","Discapacidad",6331
"10","Alberti","Efectivo",21391
"10","Alberti","Exento",12842
"10","Alberti","Infracción",866
"10","Alberti","No Cobrado",6747
"10","Alberti","Otros",5939
"10","Alberti","Telepase",13584
"10","Dellepiane","Discapacidad",12674
"10","Dellepiane","Efectivo",60781
"10","Dellepiane","Exento",19007
"10","Dellepiane","Infracción",10978
"10","Dellepiane","No Cobrado",18376
"10","Dellepiane","Otros",9321
"10","Dellepiane","Telepase",52094
"10","Illia","Discapacidad",8623
"10","Illia","Efectivo",58141
"10","Illia","Exento",23712
"10","Illia","Infracción",2512
"10","Illia","No Cobrado",13724
"10","Illia","Otros",12674
"10","Illia","Telepase",43997
"10","Parque Avellaneda","Discapacidad",12955
"10","Parque Avellaneda","Efectivo",64798
"10","Parque Avellaneda","Exento",21093
"10","Parque Avellaneda","Infracción",13785
"10","Parque Avellaneda","No Cobrado",22537
"10","Parque Avellaneda","Otros",11804
"10","Parque Avellaneda","Telepase",57380
"11","Alberti","Discapacidad",7815
"11","Alberti","Efectivo",27998
"11","Alberti","Exento",18132
"11","Alberti","Infracción",1052
"11","Alberti","No Cobrado",8133
"11","Alberti","Otros",7398
"11","Alberti","Telepase",17132
"11","Dellepiane","Discapacidad",12706
"11","Dellepiane","Efectivo",61779
"11","Dellepiane","Exento",22255
"11","Dellepiane","Infracción",16135
"11","Dellepiane","No Cobrado",18765
"11","Dellepiane","Otros",8280
"11","Dellepiane","Telepase",53157
"11","Illia","Discapacidad",9145
"11","Illia","Efectivo",58308
"11","Illia","Exento",25921
"11","Illia","Infracción",3269
"11","Illia","No Cobrado",14142
"11","Illia","Otros",12659
"11","Illia","Telepase",45930
"11","Parque Avellaneda","Discapacidad",13267
"11","Parque Avellaneda","Efectivo",66926
"11","Parque Avellaneda","Exento",23148
"11","Parque Avellaneda","Infracción",18894
"11","Parque Avellaneda","No Cobrado",23042
"11","Parque Avellaneda","Otros",13500
"11","Parque Avellaneda","Telepase",59158
"12","Alberti","Discapacidad",7843
