"estacion","hora","sentido","dia","año","conteo","latitud","longitud"
"Alberti","00","Centro","Domingo","16",313,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","17",314,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","18",318,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","19",281,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","20",252,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","21",256,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","22",242,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","23",238,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Domingo","24",471,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","16",326,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","17",294,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","18",296,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","19",264,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","20",264,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","21",269,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","22",266,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","23",244,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Jueves","24",494,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","16",263,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","17",254,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","18",280,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","19",264,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","20",254,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","21",262,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","22",232,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","23",220,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Lunes","24",478,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","16",283,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","17",277,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","18",273,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","19",267,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","20",257,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","21",261,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","22",239,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","23",221,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Martes","24",493,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","16",286,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","17",291,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","18",275,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","19",252,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","20",267,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","21",286,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","22",243,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","23",225,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Miércoles","24",444,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","16",353,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","17",342,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","18",311,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","19",284,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","20",298,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","21",318,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","22",288,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","23",279,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Sábado","24",474,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","16",312,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","17",308,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","18",296,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","19",267,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","20",297,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","21",322,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","22",275,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","23",249,-34.62481631937857,-58.39814392882449
"Alberti","00","Centro","Viernes","24",515,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","16",363,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","17",395,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","18",371,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","19",335,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","20",341,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","21",351,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","22",262,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","23",309,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Domingo","24",429,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","16",373,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","17",351,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","18",347,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","19",313,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","20",318,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","21",356,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","22",288,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","23",282,-34.62481631937857,-58.39814392882449
"Alberti","00","Provincia","Jueves","24",447,-34.62481631937857,-58.39814392882449
