"estacion","año","conteo"
"Alberti","10",67700
"Alberti","11",87660
"Alberti","12",84884
"Alberti","13",90344
"Alberti","14",91227
"Alberti","15",87930
"Alberti","16",152263
"Alberti","17",150583
"Alberti","18",153037
"Alberti","19",132279
"Alberti","20",194723
"Alberti","21",233352
"Alberti","22",153702
"Alberti","23",123161
"Alberti","24",203004
"Alberti","8",35132
"Alberti","9",49991
"Dellepiane","10",183231
"Dellepiane","11",193077
"Dellepiane","12",210157
"Dellepiane","13",202655
"Dellepiane","14",200461
"Dellepiane","15",332577
"Dellepiane","16",354593
"Dellepiane","17",357124
"Dellepiane","18",353441
"Dellepiane","19",187600
"Dellepiane","20",507858
"Dellepiane","21",657313
"Dellepiane","22",504000
"Dellepiane","23",511598
"Dellepiane","24",676383
"Dellepiane","8",35136
"Dellepiane","9",157061
"Illia","10",163383
"Illia","11",169374
"Illia","12",168322
"Illia","13",187252
"Illia","14",291490
"Illia","15",369699
"Illia","16",480424
"Illia","17",473096
"Illia","18",475059
"Illia","19",264867
"Illia","20",785119
"Illia","21",905374
"Illia","22",721023
"Illia","23",645103
"Illia","24",680876
"Illia","8",35112
"Illia","9",138860
"Parque Avellaneda","10",204352
"Parque Avellaneda","11",217935
"Parque Avellaneda","12",244394
"Parque Avellaneda","13",226150
"Parque Avellaneda","14",226196
"Parque Avellaneda","15",227752
"Parque Avellaneda","16",392163
"Parque Avellaneda","17",391842
"Parque Avellaneda","18",394371
"Parque Avellaneda","19",186443
"Parque Avellaneda","20",551751
"Parque Avellaneda","21",686279
"Parque Avellaneda","22",522650
"Parque Avellaneda","23",608626
"Parque Avellaneda","24",731728
"Parque Avellaneda","8",35136
"Parque Avellaneda","9",190859
"Paseo del Bajo","19",40964
"Paseo del Bajo","20",494292
"Paseo del Bajo","21",547036
"Paseo del Bajo","22",428800
"Paseo del Bajo","23",537505
"Paseo del Bajo","24",808498
"Alberti","Todos",2090972
"Dellepiane","Todos",5624265
"Illia","Todos",6954433
"Parque Avellaneda","Todos",6038627
"Paseo del Bajo","Todos",2857095
